No.,Time,Source,Destination,Protocol,Length,Info,Protocol_num,Packet_Count,Result
458,21.319915,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=192200 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466],6,808,Normal
459,21.319915,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=193408 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466],6,808,Normal
460,21.319916,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=194616 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466],6,808,Normal
461,21.319916,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=195824 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466],6,808,Normal
462,21.319917,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=197032 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466],6,808,Normal
463,21.319918,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=198240 Ack=1150 Win=32256 Len=1208 TSval=559045457 TSecr=412648547 [TCP PDU reassembled in 466]",6,808,Normal
464,21.319918,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=199448 Ack=1150 Win=32256 Len=1208 TSval=559045458 TSecr=412648549 [TCP PDU reassembled in 466],6,808,Normal
465,21.319919,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=200656 Ack=1150 Win=32256 Len=1208 TSval=559045458 TSecr=412648549 [TCP PDU reassembled in 466],6,808,Normal
466,21.31992,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
467,21.320246,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=203072 Ack=1150 Win=32256 Len=1208 TSval=559045458 TSecr=412648549 [TCP PDU reassembled in 468],6,808,Normal
